City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,genhe,51.3346874,121.8112468,-34.85,96,5,0.99,CN,1702247520
304,sechura,-5.5575353,-80.8223327,24.84,62,11,7.89,PE,1702247521
305,buckhannon,38.9939426,-80.2322698,5.47,93,100,2.57,US,1702247236
306,sao joao da barra,-21.6348588,-41.0487079,24.06,80,41,2.65,BR,1702247526
307,machiques,10.0596326,-72.5463146,26.68,80,43,2.74,VE,1702247527
308,box elder,44.1333654,-103.064514,7.05,35,20,7.2,US,1702247528
309,dhidhdhoo,6.889046,73.1133538,28.42,78,97,5.18,MV,1702247529
310,rouissat,31.9239554,5.3498372,11.04,50,0,1.54,DZ,1702247531
311,vainode,56.4189518,21.8531625,-1.98,95,100,4.75,LV,1702247532
312,puerto colombia,2.4954965,-68.27051058033612,26.67,79,85,1.4,CO,1702247533
313,harstad,68.92973835000001,16.520913478350344,-4.9,100,89,3.64,NO,1702247534
314,roma,41.8933203,12.4829321,10.78,63,0,2.57,IT,1702247411
315,chui,-33.6895237,-53.454704,16.94,94,16,3.62,BR,1702247537
316,fort mcmurray,56.7291997,-111.3885221,0.77,59,0,7.2,CA,1702247538
317,bhag,29.0427282,67.8236233,16.49,22,0,1.44,PK,1702247539
318,laguna,-28.4837443,-48.7816572,19.74,95,100,7.3,BR,1702247465
319,lospalos,-8.5219841,126.9987085,25.89,74,99,1.08,TL,1702247542
320,namibe,-15.195064,12.1458085,22.52,77,82,2.34,AO,1702247544
321,rawlins,41.7907878,-107.239176,-1.06,59,20,14.4,US,1702247545
322,bang phae,13.6940797,99.927898,23.71,84,10,0.49,TH,1702247546
323,tolanaro,-25.0296943,46.9903888,25.88,89,20,9.26,MG,1702247547
324,keflavik,63.9997694,-22.5565373,1.24,93,100,4.63,IS,1702247548
325,seguela,7.9662547,-6.675572,24.81,37,98,0.94,CI,1702247549
326,laela,-8.5724624,32.046977,17.32,91,99,0.83,TZ,1702247550
